日期,市半導體,製造業營業氣候測驗點,股價指數,外銷訂單動向指數,工業及服務業受僱員工淨進入率,M1B,實質半導體設備進口值,建築物開工樓地板面積,工業生產指數,製造業銷售量指數,實質機械及電機設備進口值,電力(企業)總用電量,實質海關出口值,批發、零售及餐飲業營業額,工業及服務業加班工時,全體金融機構放款與投資,製造業單位產出勞動成本指數,五大銀行新承做放款平均利率,失業率,製造業存貨價值,半導體內銷品物價指數,台灣消費者物價指數,消費者物價指數年增率,台灣消費者信心指數,美國央行利率,VIX,中國EPU指數,美國EPU指數,全球GPR指數,美國非農就業人口,美國全品項CPI,美國消費者信心指數,NFCI,CBOE黃金ETF波動率指數,那斯達克指數,費城半導體指數
Jan-11,83.5,103.13,8970.76,38.14,0.13,11489795,38802,1814.389,65.82,78.27,237.48,10.34,750.59,1181.371253,8.8,28966,179.95,1.422,4.64,635378723,102.09,90.25,1.1,86.78,0.17,19.53,155.0462553,111.4928249,79.4216156,130839,221.187,74.2,-0.6047625,18.4965,2717.2085,440.296967
Feb-11,82.74,98.76,8742.56,67.12,-0.1,11627294,37190,1163.07,55.87,63.01,195.66,9.03,626.83,1006.751726,8.2,29026,128.58,1.429,4.69,666295412,102.63,90.93,1.33,85.89,0.16,18.35,59.00743678,104.5623701,90.01448822,131054,221.898,77.5,-0.6267325,16.27052632,2783.535789,458.398193
Mar-11,77.35,99.41,8575.49,51.98,0.47,11481607,44904,2097.23,68.43,81.4,251.26,12.08,814.4,1161.209903,9.2,29078,85.23,1.49,4.48,675152070,103.27,90.13,1.39,83.66,0.14,17.74,120.7701324,153.8417288,136.8883057,131278,223.046,67.5,-0.574405,17.41869565,2722.28913,437.148468
Apr-11,77.24,96.09,8860.92,49.97,0.17,11445860,32359,1750.611,65.31,76.45,218.04,10.77,807.87,1136.515481,9.2,29214,89.59,1.577,4.29,680101283,102.66,90.8,1.29,85.78,0.1,14.75,135.1717412,124.8465874,91.01776886,131604,224.093,69.8,-0.611632,16.4445,2797.072,449.34259
May-11,79.45,97.33,8910.542857,48.74,0.35,11475670,52145,1669.144,67.27,75.35,255.46,11.96,809.3,1136.957692,8.8,29429,91.37,1.47,4.27,709542446,101.85,90.98,1.66,85.4,0.09,15.45,74.12288335,84.5491611,105.3449173,131704,224.806,74.3,-0.6038675,18.89047619,2815.075714,439.38739
Jun-11,77.94,93.8,8748.664762,47.64,0.38,11415910,35431,1569.7,65.55,75.58,229.92,12.41,733.32,1179.036935,8.6,29363,93.85,1.529,4.35,699808721,102.17,91.54,1.94,85.28,0.09,16.52,102.6547133,139.0378982,84.3918457,131936,224.806,71.5,-0.5379275,16.78272727,2687.762727,410.15155
Jul-11,72.9,96.46,8681.23619,46.7,0.84,11473352,26842,1806.583,66.35,76.56,226.83,11.77,821.56,1192.79019,8.6,29591,99.05,1.611,4.41,700339525,101.61,91.27,1.32,86.84,0.07,25.25,99.84159509,207.1603073,78.92475891,131992,225.395,63.7,-0.479744,17.3935,2810.5755,386.752869
Aug-11,65.81,95.17,7763.333043,47.4,0.16,11672465,21706,1966.293,64.95,74.7,217.23,13.37,755.72,1157.637672,8.3,29769,101.14,1.65,4.45,701848354,101.97,91.3,1.34,86.89,0.1,31.62,140.2647613,283.6655748,86.9515686,132123,226.106,55.8,-0.208465,28.06608696,2504.623043,355.61795
Sep-11,67.38,94.12,7385.134286,43.56,-0.02,11674272,21243,1762.157,61.09,73.42,205.92,11.99,730,1172.5057,8.1,29829,105.59,1.602,4.28,685076501,104.42,91.42,1.38,85.58,0.08,42.96,142.514988,214.4261053,83.35044861,132346,226.597,59.5,-0.01506,33.77095238,2524.13619,338.656128
Oct-11,68.98,90.97,7345.0755,40.48,0.15,11573259,22867,1891.96,63.13,72.49,223.65,11.46,835.19,1187.953705,8.1,29906,95.75,1.605,4.3,709825019,105.91,91.91,1.24,84.04,0.07,29.96,157.7215381,137.8392521,76.3399353,132557,226.75,60.8,-0.0387075,30.7247619,2594.781905,386.30307
